Espèce,Variété,Fournisseur,Délai croissance plants (j),Date en terre,Durée avant récolte (j),Étalement récolte (j),Date réalisation plants,Date début récolte,Date fin récolte,Longueur de rang de cette série (m),Longueur de  rang totale (m),Longueur de  rang par livraison (m),Nombre de rangs retenus,Intra rang (cm),Nombre de pieds,Nb graines par m,Nombre de graines,Nb graines par gramme,Poids par graine (g),Poids de graines (g),lieu,liste_planches
Pomme de terre primeur,charlotte,,110,,,,11/09/1899,30/12/1899,30/12/1899,,"222,222222222222","55,5555555555556","4,8",20,0,"5,55555555555556",0,,#DIV/0 !,#DIV/0 !,CHAMP,
Pomme de terre primeur,désirée,,,08/02/2016,120,15,-,07/06/2016,22/06/2016,,"222,222222222222","55,5555555555556","4,8",20,0,"5,55555555555556",0,,#DIV/0 !,#DIV/0 !,CHAMP,
Pourpier,claytone de cuba,GERMINANCE,,15/11/2016,60,45,-,14/01/2017,28/02/2017,156,"156,25","31,25",6,30,520,"11,1111111111111","1733,33333333333",2200,"0,000454545454545455","0,787878787878787",SERRE,
Radis noir,noir rond,,,,,,-,30/12/1899,30/12/1899,,"1184,21052631579","78,9473684210526",12,10,0,"11,1111111111111",0,,#DIV/0 !,#DIV/0 !,CHAMP,
Radis noir,noir rond,,,,,,-,30/12/1899,30/12/1899,,"1184,21052631579","78,9473684210526",12,10,0,"11,1111111111111",0,,#DIV/0 !,#DIV/0 !,CHAMP,
Radis noir,noir rond,,,,,,-,30/12/1899,30/12/1899,,"1184,21052631579","78,9473684210526",12,10,0,"11,1111111111111",0,,#DIV/0 !,#DIV/0 !,CHAMP,
Radis rose,Flamboyant 3,GERMINANCE,,01/02/2016,35,15,-,07/03/2016,22/03/2016,360,"2678,57142857143","178,571428571429",12,3,12000,"37,037037037037","13333,3333333333",120,"0,00833333333333333","111,111111111111",SERRE,
Radis rose,Flamboyant 3,GERMINANCE,,16/02/2016,28,15,-,15/03/2016,30/03/2016,360,"2678,57142857143","178,571428571429",12,3,12000,"37,037037037037","13333,3333333333",120,"0,00833333333333333","111,111111111111",SERRE,
Radis rose,Pernot clair,GERMINANCE,,01/02/2016,28,15,-,29/02/2016,15/03/2016,360,"2678,57142857143","178,571428571429",12,3,12000,"37,037037037037","13333,3333333333",120,"0,00833333333333333","111,111111111111",SERRE,
Radis rose,Pernot clair,GERMINANCE,,16/02/2016,28,15,-,15/03/2016,30/03/2016,360,"2678,57142857143","178,571428571429",12,3,12000,"37,037037037037","13333,3333333333",120,"0,00833333333333333","111,111111111111",SERRE,
Radis rose,rond écarlate Sora,,,15/04/2016,28,15,-,13/05/2016,28/05/2016,360,"2678,57142857143","178,571428571429",12,3,12000,"37,037037037037","13333,3333333333",120,"0,00833333333333333","111,111111111111",CHAMP,
Radis rose,rond écarlate Sora,,,30/04/2016,28,15,-,28/05/2016,12/06/2016,360,"2678,57142857143","178,571428571429",12,3,12000,"37,037037037037","13333,3333333333",120,"0,00833333333333333","111,111111111111",CHAMP,
Radis rose,rose de Pâques,,,15/05/2016,28,16,-,12/06/2016,28/06/2016,360,"2678,57142857143","178,571428571429",12,3,12000,"37,037037037037","13333,3333333333",121,"0,00826446280991736","110,192837465565",CHAMP,
Radis rose,rose de Pâques,,,02/11/2016,28,17,-,30/11/2016,17/12/2016,361,"2678,57142857143","178,571428571429",12,3,"12033,3333333333","37,037037037037","13370,3703703704",122,"0,00819672131147541","109,593199757134",CHAMP,
Tomate,green zébra,,30,30/11/2016,60,120,31/10/2016,29/01/2017,29/05/2017,50,"208,333333333333","14,8809523809524","2,4",50,100,"2,10526315789474","105,263157894737",,#DIV/0 !,#DIV/0 !,SERRE,
Tomate,rose de berne,,30,13/12/2016,60,120,13/11/2016,11/02/2017,11/06/2017,50,"208,333333333333","14,8809523809524","2,4",50,100,"2,10526315789474","105,263157894737",,#DIV/0 !,#DIV/0 !,SERRE,
Tomate,cœur de boeuf orange,,30,,60,120,30/11/1899,28/02/1900,28/06/1900,50,"208,333333333333","14,8809523809524","2,4",50,100,"2,10526315789474","105,263157894737",,#DIV/0 !,#DIV/0 !,SERRE,
Tomate,andine cornue,,30,,60,120,30/11/1899,28/02/1900,28/06/1900,50,"208,333333333333","14,8809523809524","2,4",50,100,"2,10526315789474","105,263157894737",,#DIV/0 !,#DIV/0 !,SERRE,
